ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.33971,1.33969,1026,0.0,GBPUSD,1784086794375,2026-07-15T03:39:54.375000Z,0.0
1.33967,1.33965,1028,0.0,GBPUSD,1784086806054,2026-07-15T03:40:06.054000Z,0.0
1.33968,1.33966,1030,0.0,GBPUSD,1784086808139,2026-07-15T03:40:08.139000Z,0.0
1.33966,1.33964,1030,0.0,GBPUSD,1784086808943,2026-07-15T03:40:08.943000Z,0.0
1.33966,1.33964,1026,0.0,GBPUSD,1784086813229,2026-07-15T03:40:13.229000Z,0.0
1.33968,1.33965,1026,0.0,GBPUSD,1784086814222,2026-07-15T03:40:14.222000Z,0.0
1.33967,1.33964,1030,0.0,GBPUSD,1784086815206,2026-07-15T03:40:15.206000Z,0.0
1.33969,1.33967,1026,0.0,GBPUSD,1784086816210,2026-07-15T03:40:16.210000Z,0.0
1.33969,1.33967,1026,0.0,GBPUSD,1784086816527,2026-07-15T03:40:16.527000Z,0.0
1.33967,1.33965,1030,0.0,GBPUSD,1784086818190,2026-07-15T03:40:18.190000Z,0.0
1.33968,1.33966,1030,0.0,GBPUSD,1784086818703,2026-07-15T03:40:18.703000Z,0.0
1.33968,1.33966,1030,0.0,GBPUSD,1784086819870,2026-07-15T03:40:19.870000Z,0.0
1.33967,1.33965,1030,0.0,GBPUSD,1784086826014,2026-07-15T03:40:26.014000Z,0.0
1.33967,1.33965,1030,0.0,GBPUSD,1784086826691,2026-07-15T03:40:26.691000Z,0.0
1.33967,1.33965,1030,0.0,GBPUSD,1784086828697,2026-07-15T03:40:28.697000Z,0.0
1.33968,1.33966,1030,0.0,GBPUSD,1784086831837,2026-07-15T03:40:31.837000Z,0.0
1.33967,1.33965,1030,0.0,GBPUSD,1784086832510,2026-07-15T03:40:32.510000Z,0.0
1.33967,1.33965,1030,0.0,GBPUSD,1784086834627,2026-07-15T03:40:34.627000Z,0.0
1.33966,1.33963,1030,0.0,GBPUSD,1784086835379,2026-07-15T03:40:35.379000Z,0.0
1.34026,1.34024,1026,0.0,GBPUSD,1784090363879,2026-07-15T04:39:23.879000Z,0.0
1.34027,1.34025,1026,0.0,GBPUSD,1784090369390,2026-07-15T04:39:29.390000Z,0.0
1.34027,1.34025,1030,0.0,GBPUSD,1784090370583,2026-07-15T04:39:30.583000Z,0.0
1.34026,1.34024,1030,0.0,GBPUSD,1784090371205,2026-07-15T04:39:31.205000Z,0.0
1.34026,1.34024,1028,0.0,GBPUSD,1784090372075,2026-07-15T04:39:32.075000Z,0.0
1.34025,1.34023,1030,0.0,GBPUSD,1784090373566,2026-07-15T04:39:33.566000Z,0.0
1.34026,1.34024,1030,0.0,GBPUSD,1784090374558,2026-07-15T04:39:34.558000Z,0.0
1.34025,1.34023,1030,0.0,GBPUSD,1784090375304,2026-07-15T04:39:35.304000Z,0.0
1.34025,1.34023,1030,0.0,GBPUSD,1784090376296,2026-07-15T04:39:36.296000Z,0.0
1.34026,1.34024,1030,0.0,GBPUSD,1784090377092,2026-07-15T04:39:37.092000Z,0.0
1.34027,1.34025,1030,0.0,GBPUSD,1784090380324,2026-07-15T04:39:40.324000Z,0.0
